
GroupOne: quality:1 subspecies:enterica core:405,402,401,398,395,403,399,400,394,393,376,404,388,396,390,385,397 serovar:Newport contigs:1,63,58,74,54,163,62,56,147,40,83,93,4,65,68,137,98,77,89,127,57,191,61,38,69,2,55,67,190,138,266,49,66,60,46,3,44,53,100,59,194,186,82,125,64,71,258,75,78,51,116,12
GroupTwo: quality:1 subspecies:enterica,diarizonae,salamae,houtenae,arizonae,indica core:359,385,363,361,358,346,390,357,126,402,391,356,360,399,405,403,397,350,382,398,400,368,381,401,268,374,364,365,355,386,352,318,378,380,404,384,298,379,370,396,392,375,372,395,373,387,369,353,371,388,367,289,383,354,376,333,351,278,366,348,394,393,334,389,377,311,312,345,127,139,362,324,344,317,342,349,293,188,337,316,341,300,136,332,82,74,294,284,184,328,176,326,327,347,343,83,307,280,290,306,194,320,78,86,79,187,319,295,76,303,288,275,138,304,309,292,87 serovar:Typhi,Kentucky,Itami,Paratyphi,Weltevreden,O61:z:1,5,7,Typhimurium,Choleraesuis,Enteritidis,Bareilly,Heidelberg,Infantis,I,9,12:l,v:-,Cerro,Agona,Bovismorbificans,Tennessee,Montevideo,Muenchen,Saintpaul,Havana,Senftenberg,Dublin,Anatum,Plymouth|Zega,Mbandaka,Hadar,Albany,Hartford,Oranienburg,Derby,Nima,4,[5],12:i:-,Schwarzengrund,Kiambu,Reading,Bredeney,Virginia,Liverpool,4,12:i:-,4,12:d:-,Javiana,Manhattan,Inverness,Brandenburg,Aqua,Berta,Litchfield,Nottingham,C1:g,Thompson,Johannesburg,Rubislaw,O61:k:1,5,IIIb,Pullorum,Telelkebir,Minnesota,B:e,h:-,Mississippi,Virchow,Ohio,Lille,Herston,Stanley,Abony,56:z10:e,n,x,Java,Muenster,Indiana,Putten,Lingwala,Blegdam,Tallahassee,Worthington,Milwaukee,Braenderup,X:z47:z53,Chester,Blockley,Gallinarum,16:z4,z32:--,Urbana,63:g,z51:-,London,Moscow,Give,Cubana,58:l,z13,z28:z6,Gaminara,Miami,Poona,Livingstone,6,14,25:z10:1,(2),7,Corvallis,Soerenga,Widemarsh,Abaetetuba,Hvittingfoss,Panama,Stanleyville,18:z4,z23:-,Meleagridis,Rissen,Veneziana,Gallinarum/pullorum,II,Namur,Fresno,Ouakam,62:z36:-,Abortusovis,50:g,z51:-,Pomona,Colindale,Mishmarhaemek,IV,Napoli,Nchanga,Weslaco,Orion,62:z4,z23:--,,Salford,Sandiego,Norwich,Kedougou,Hindmarsh,Brancaster,60:r:e,n,x,z15,Eastbourne,Hillingdon,Sloterdijk contigs:41,44,132,23,52,2,70,58,62,108,74,59,38,276,72,69,43,85,101,105,192,299,98,97,42,1,103,154,46,293,87,66,56,53,67,40,47,78,49,227,55,45,48,115,60,164,51,95,39,65,31,68,110,187,259,185,61,75,117,480,114,50,91,99,158,80,54,3,206,79,189,6,126,57,119,84,323,137,86,83,89,64,77,116,81,113,127,94,144,76,121,168,291,73,176,88,123,145,36,107,142,141,35,63,297,152,118,14,134,71,173,4,250,169,30,133,106,12,92,174,109,171,90,37,194,125,19,153,128,271,8,102,28,286,96,233,193,209,155,29,479,180,175,314,151,159,266,442,138,261,82,165,274,25,100,257,93,146,149,235,112,130,331,122,139,11,524,21,228,585,225,577,186,104,248,307,140,161,664,156,5,27,368,147,135,196,111,318,435,598,13,182,32,160,246,416,244,260,170,422,243,10,534,252,9,472,120,143,181,203,280,285,308,131,177,199,24,429,34,212,267,230,279,191,408,355,213,827,385,449,220,211,609,298,263,201,33,183,311,157,166,221,136,744,124,7,197,148,198,351,219,255,218,334,190,195,178,265,207,546,188,902,272,558,150,303,918,650,463,365,129,20,222,162,214,204,26,215,229,399,634,241,856,238,417,202,655,232,420,500,394,428,210,258,587,401,343,284,532,163,996,216,236,873,251,172,273,618,18,983,224,538,270,217,418,205,731,15,335,338,374,389,242,239,17,231,550,517,256,249,688,407,665,329,184,350,167,432,415,290,253,590,346,268,247,278,903,179,245,315,326,930,750
Name	GroupOne (+)	GroupOne (-)	GroupTwo (+)	GroupTwo (-)	pValue
lcl|GCA_000272515_1_ASM27251v1_genomic_fna|AHTJ01000008.1_Salmonella_enterica_subsp._enterica_serovar_Newport_str._CVM_35185_SEEN185_12__whole_genome_shotgun_sequence__2001..3000_	1	80	0	4812	1.27675647831893e-14
lcl|GCA_001295155_1_ASM129515v1_genomic_fna|LIDY01000085.1_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_strain_StVIM_contig00085__whole_genome_shotgun_sequence__1..1000_	1	80	1	4811	8.34689400930344e-8
lcl|GCA_000344865_1_SOAPdenovo1_05_genomic_fna|AOGG01000051.1_Salmonella_enterica_subsp._enterica_serovar_Newport_str._JS09102_contig051__whole_genome_shotgun_sequence__2821..3820_	1	80	0	4812	1.27675647831893e-14
lcl|GCA_000006945_2_ASM694v2_genomic_fna|AE006468.2_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2__complete_genome__3979001..3980000_	6	75	3734	1078	0.0
lcl|GCA_000344825_1_SOAPdenovo1_05_genomic_fna|AOGJ01000034.1_Salmonella_enterica_subsp._enterica_serovar_Newport_str._SH111077_contig034__whole_genome_shotgun_sequence__144512..145511_	1	80	1	4811	8.34689400930344e-8
lcl|GCA_000171415_1_ASM17141v1_genomic_fna|ABEW01000015.1_Salmonella_enterica_subsp._enterica_serovar_Newport_str._SL317_gcontig_1106632477151__whole_genome_shotgun_sequence__1..1000_	3	78	11	4801	6.370352689799574e-9
lcl|GCA_000018385_1_ASM1838v1_genomic_fna|CP000857.1_Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain_RKS4594__complete_genome__4541084..4542139_	0	81	1778	3034	7.05546732149287e-12
lcl|GCA_000344825_1_SOAPdenovo1_05_genomic_fna|AOGJ01000034.1_Salmonella_enterica_subsp._enterica_serovar_Newport_str._SH111077_contig034__whole_genome_shotgun_sequence__121411..122410_	1	80	1	4811	8.34689400930344e-8
lcl|GCA_000170235_1_ASM17023v1_genomic_fna|ABAN01000052.1_Salmonella_enterica_subsp._enterica_serovar_Saintpaul_str._SARA29_gcontig_1104776683799__whole_genome_shotgun_sequence__13451..14450_	35	46	482	4330	0.0
lcl|GCA_000006945_2_ASM694v2_genomic_fna|AE006468.2_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2__complete_genome__4029001..4030000_	76	5	2311	2501	3.3306690738754696e-16
lcl|GCA_000006945_2_ASM694v2_genomic_fna|AE006468.2_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2__complete_genome__4829001..4830000_	81	0	1834	2978	0.0
lcl|GCA_000007545_1_ASM754v1_genomic_fna|AE014613.1_Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2__complete_genome__1959606..1960605_	0	81	1961	2851	1.1535217225855376e-13
lcl|GCA_000016045_1_ASM1604v1_genomic_fna|CP000604.1_Salmonella_enterica_subsp._enterica_serovar_Newport_str._SL254_plasmid_pSN254__complete_sequence__143362..145356_	5	76	30	4782	4.170743750364636e-9
lcl|GCA_000272875_1_ASM27287v1_genomic_fna|AHUG01000029.1_Salmonella_enterica_subsp._enterica_serovar_Newport_str._CVM_4176_SEEN176_40__whole_genome_shotgun_sequence__18465..19464_	1	80	0	4812	1.27675647831893e-14
lcl|GCA_000344825_1_SOAPdenovo1_05_genomic_fna|AOGJ01000005.1_Salmonella_enterica_subsp._enterica_serovar_Newport_str._SH111077_contig005__whole_genome_shotgun_sequence__48282..49281_	1	80	0	4812	1.27675647831893e-14
lcl|GCA_000272935_1_ASM27293v1_genomic_fna|AHUC01000003.1_Salmonella_enterica_subsp._enterica_serovar_Newport_str._CVM_37978_SEEN978_12__whole_genome_shotgun_sequence__169605..170604_	1	80	0	4812	1.27675647831893e-14
lcl|GCA_000170235_1_ASM17023v1_genomic_fna|ABAN01000052.1_Salmonella_enterica_subsp._enterica_serovar_Saintpaul_str._SARA29_gcontig_1104776683799__whole_genome_shotgun_sequence__3451..4450_	32	49	106	4706	0.0
